param_init,param_max_iter,param_n_clusters,param_n_init,n_clusters_found,inertia,silhouette,davies_bouldin,calinski_harabasz,score_for_selection,status
k-means++,100,2,10,2.0,1658.7588524290952,0.25931695553182543,1.5259965836052092,69.52333173902912,0.25931695553182543,ok
k-means++,100,3,10,3.0,1277.928488844642,0.2848589191898987,1.389187977718165,70.94000800315118,0.2848589191898987,ok
k-means++,100,4,10,4.0,1175.4283331033473,0.26017035223704527,1.7968917400704765,56.181355187904686,0.26017035223704527,ok
